Date,Latitude,Longitude,Magnitude,Depth,Location
2023-04-25 03:00:57,98.39,-0.93,7.3,84 Km,"177 km BaratLaut KEP-MENTAWAI-SUMBAR(Warning Tsunami PD-4)
"
2023-04-25 03:00:57,98.39,-0.93,7.3,84 Km,"177 km BaratLaut KEP-MENTAWAI-SUMBAR(Warning Tsunami PD-1)
"
2023-01-10 00:47:33,130.23,-7.37,7.5,130 Km,"136 km BaratLaut MALUKUTENGGARABRT(Warning Tsunami PD-4)
"
2023-01-10 00:47:34,130.18,-7.25,7.9,131 Km,"148 km BaratLaut MALUKUTENGGARABRT(Warning Tsunami PD-1)
"
2021-12-14 10:20:23,122.24,-7.59,7.4,10 Km,"113 km BaratLaut LARANTUKA-NTT(Warning Tsunami PD-4)
"
2021-12-14 10:20:23,122.24,-7.59,7.4,10 Km,"113 km BaratLaut LARANTUKA-NTT(Warning Tsunami PD-3.1)
"
2021-12-14 10:20:23,122.24,-7.59,7.4,10 Km,"113 km BaratLaut LARANTUKA-NTT(Warning Tsunami PD-2)
"
2021-12-14 10:20:22,122.26,-7.59,7.5,12 Km,"112 km BaratLaut LARANTUKA-NTT(Warning Tsunami PD-1)
"
2019-11-14 23:17:43,126.39,1.67,7.1,73 Km,"137 km BaratLaut JAILOLO-MALUT(Warning Tsunami PD-4)
"
2019-11-14 23:17:43,126.39,1.67,7.1,73 Km,"137 km BaratLaut JAILOLO-MALUT(Warning Tsunami PD-3.2)
"
2019-11-14 23:17:43,126.39,1.67,7.1,73 Km,"137 km BaratLaut JAILOLO-MALUT(Warning Tsunami PD-3.1)
"
2019-11-14 23:17:43,126.39,1.67,7.1,73 Km,"137 km BaratLaut JAILOLO-MALUT(Warning Tsunami PD-2)
"
2019-11-14 23:17:41,126.40,1.63,7.4,10 Km,"134 km BaratLaut JAILOLO-MALUT(Warning Tsunami PD-1)
"
2019-08-02 19:03:25,104.58,-7.54,7.4,10 Km,"147 km BaratDaya SUMUR-BANTEN(Warning Tsunami PD-4)
"
2019-08-02 19:03:21,104.58,-7.54,7.4,10 Km,"147 km BaratDaya SUMUR-BANTEN(Warning Tsunami PD-1)
"
2019-07-07 22:08:42,126.19,0.54,7.0,36 Km,"133 km BaratDaya TERNATE-MALUT(Warning Tsunami PD-4)
"
2019-07-07 22:08:42,126.19,0.54,7.0,36 Km,"133 km BaratDaya TERNATE-MALUT(Warning Tsunami PD-2)
"
2019-07-07 22:08:39,126.18,0.51,7.1,10 Km,"135 km BaratDaya TERNATE-MALUT(Warning Tsunami PD-1)
"
2019-04-12 18:40:49,122.54,-1.90,6.9,10 Km,"85 km BaratDaya BANGGAIKEP-SULTENG(Warning Tsunami PD-4)
"
2019-04-12 18:40:49,122.54,-1.90,6.9,10 Km,"85 km BaratDaya BANGGAIKEP-SULTENG(Warning Tsunami PD-1)
"
2018-09-28 17:02:44,119.85,-0.18,7.7,10 Km,"27 km TimurLaut DONGGALA-SULTENG(Warning Tsunami PD-1)
"
2018-08-05 18:46:35,116.48,-8.37,7.0,15 Km,"18 km BaratLaut LOMBOKTIMUR-NTB(Warning Tsunami PD-4)
"
2018-08-05 18:46:35,116.48,-8.37,7.0,15 Km,"18 km BaratLaut LOMBOKTIMUR-NTB(Warning Tsunami PD-3.3)
"
2018-08-05 18:46:35,116.48,-8.37,7.0,15 Km,"18 km BaratLaut LOMBOKTIMUR-NTB(Warning Tsunami PD-3.2)
"
2018-08-05 18:46:35,116.48,-8.37,7.0,15 Km,"18 km BaratLaut LOMBOKTIMUR-NTB(Warning Tsunami PD-3.1)
"
2018-08-05 18:46:35,116.48,-8.37,7.0,15 Km,"18 km BaratLaut LOMBOKTIMUR-NTB(Warning Tsunami PD-2)
"
2018-07-11 11:04:25,112.83,-10.48,7.8,10 Km,"261 km Tenggara KEPANJEN-MALANG-JATIM (Hanya TEST Event)(Warning Tsunami PD-4)
"
2018-07-11 11:04:25,112.83,-10.48,7.8,10 Km,"261 km Tenggara KEPANJEN-MALANG-JATIM (Hanya TEST Event)(Warning Tsunami PD-3.1)
"
2018-07-11 11:04:25,112.83,-10.48,7.8,10 Km,"261 km Tenggara KEPANJEN-MALANG-JATIM (Hanya TEST Event)(Warning Tsunami PD-2)
"
2018-07-11 11:04:25,112.83,-10.48,7.8,10 Km,"261 km Tenggara KEPANJEN-MALANG-JATIM (Hanya TEST Event)(Warning Tsunami PD-1)
"
